hole_id,from_m,to_m,length_m,au_gpt,data_source
SYN-018,79.5,120.0,40.5,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,120.0,124.5,4.5,2.193,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,124.5,144.0,19.5,0.027,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,144.0,148.5,4.5,3.386,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,148.5,225.75,77.25,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-019,0.0,70.5,70.5,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-019,70.5,73.5,3.0,0.766,SYNTHETIC_FABRICATED_NOT_REAL
SYN-019,73.5,171.83,98.33,0.036,SYNTHETIC_FABRICATED_NOT_REAL
SYN-020,0.0,63.0,63.0,0.036,SYNTHETIC_FABRICATED_NOT_REAL
SYN-020,63.0,67.5,4.5,0.839,SYNTHETIC_FABRICATED_NOT_REAL
SYN-020,67.5,292.79,225.29,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-021,0.0,229.5,229.5,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-021,229.5,234.0,4.5,1.756,SYNTHETIC_FABRICATED_NOT_REAL
SYN-021,234.0,240.0,6.0,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-021,240.0,244.5,4.5,2.315,SYNTHETIC_FABRICATED_NOT_REAL
SYN-021,244.5,292.34,47.84,0.039,SYNTHETIC_FABRICATED_NOT_REAL
SYN-022,0.0,81.0,81.0,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-022,81.0,85.5,4.5,5.833,SYNTHETIC_FABRICATED_NOT_REAL
SYN-022,85.5,105.0,19.5,0.037,SYNTHETIC_FABRICATED_NOT_REAL
SYN-022,105.0,108.0,3.0,3.604,SYNTHETIC_FABRICATED_NOT_REAL
SYN-022,108.0,114.0,6.0,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-022,114.0,118.5,4.5,2.965,SYNTHETIC_FABRICATED_NOT_REAL
SYN-022,118.5,208.7,90.2,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,0.0,40.5,40.5,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,40.5,42.0,1.5,0.991,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,42.0,48.0,6.0,0.028,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,48.0,54.0,6.0,1.082,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,54.0,207.0,153.0,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,207.0,210.0,3.0,2.388,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,210.0,216.0,6.0,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,216.0,217.94,1.94,3.508,SYNTHETIC_FABRICATED_NOT_REAL
SYN-024,0.0,30.0,30.0,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-024,30.0,34.5,4.5,2.076,SYNTHETIC_FABRICATED_NOT_REAL
SYN-024,34.5,40.5,6.0,0.045,SYNTHETIC_FABRICATED_NOT_REAL
SYN-024,40.5,46.5,6.0,1.302,SYNTHETIC_FABRICATED_NOT_REAL
SYN-024,46.5,244.0,197.5,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-025,0.0,55.5,55.5,0.036,SYNTHETIC_FABRICATED_NOT_REAL
SYN-025,55.5,58.5,3.0,2.043,SYNTHETIC_FABRICATED_NOT_REAL
SYN-025,58.5,64.5,6.0,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-025,64.5,66.0,1.5,1.844,SYNTHETIC_FABRICATED_NOT_REAL
SYN-025,66.0,76.5,10.5,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-025,76.5,82.5,6.0,2.024,SYNTHETIC_FABRICATED_NOT_REAL
SYN-025,82.5,198.76,116.26,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-026,0.0,79.5,79.5,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-026,79.5,82.5,3.0,4.468,SYNTHETIC_FABRICATED_NOT_REAL
SYN-026,82.5,88.5,6.0,0.022,SYNTHETIC_FABRICATED_NOT_REAL
SYN-026,88.5,93.0,4.5,2.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-026,93.0,99.0,6.0,0.026,SYNTHETIC_FABRICATED_NOT_REAL
SYN-026,99.0,100.5,1.5,2.321,SYNTHETIC_FABRICATED_NOT_REAL
SYN-026,100.5,325.46,224.96,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-027,0.0,76.5,76.5,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-027,76.5,82.5,6.0,1.833,SYNTHETIC_FABRICATED_NOT_REAL
SYN-027,82.5,88.5,6.0,0.042,SYNTHETIC_FABRICATED_NOT_REAL
SYN-027,88.5,90.0,1.5,0.988,SYNTHETIC_FABRICATED_NOT_REAL
SYN-027,90.0,204.0,114.0,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-027,204.0,208.5,4.5,1.653,SYNTHETIC_FABRICATED_NOT_REAL
SYN-027,208.5,235.61,27.11,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-028,0.0,181.68,181.68,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-029,0.0,60.0,60.0,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-029,60.0,64.5,4.5,0.776,SYNTHETIC_FABRICATED_NOT_REAL
SYN-029,64.5,191.04,126.54,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-030,0.0,136.5,136.5,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-030,136.5,142.5,6.0,3.401,SYNTHETIC_FABRICATED_NOT_REAL
SYN-030,142.5,314.53,172.03,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-031,0.0,87.0,87.0,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-031,87.0,91.5,4.5,1.659,SYNTHETIC_FABRICATED_NOT_REAL
SYN-031,91.5,145.5,54.0,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-031,145.5,151.5,6.0,1.936,SYNTHETIC_FABRICATED_NOT_REAL
SYN-031,151.5,264.67,113.17,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,0.0,60.0,60.0,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,60.0,61.5,1.5,2.491,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,61.5,75.0,13.5,0.027,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,75.0,76.5,1.5,2.182,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,76.5,82.5,6.0,0.028,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,82.5,88.5,6.0,3.062,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,88.5,129.0,40.5,0.036,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,129.0,133.5,4.5,3.785,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,133.5,139.5,6.0,0.026,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,139.5,142.5,3.0,4.878,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,142.5,184.66,42.16,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,0.0,67.5,67.5,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,67.5,73.5,6.0,1.269,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,73.5,79.5,6.0,0.043,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,79.5,81.0,1.5,0.856,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,81.0,100.5,19.5,0.028,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,100.5,103.5,3.0,1.385,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,103.5,144.0,40.5,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,144.0,148.5,4.5,0.95,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,148.5,220.88,72.38,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-034,0.0,314.59,314.59,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-035,0.0,335.44,335.44,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-036,0.0,78.0,78.0,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-036,78.0,82.5,4.5,6.157,SYNTHETIC_FABRICATED_NOT_REAL
SYN-036,82.5,87.0,4.5,0.038,SYNTHETIC_FABRICATED_NOT_REAL
SYN-036,87.0,93.0,6.0,5.368,SYNTHETIC_FABRICATED_NOT_REAL
SYN-036,93.0,207.04,114.04,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-037,0.0,61.5,61.5,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-037,61.5,63.0,1.5,1.841,SYNTHETIC_FABRICATED_NOT_REAL
SYN-037,63.0,69.0,6.0,0.021,SYNTHETIC_FABRICATED_NOT_REAL
SYN-037,69.0,73.5,4.5,1.014,SYNTHETIC_FABRICATED_NOT_REAL
SYN-037,73.5,94.5,21.0,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-037,94.5,96.0,1.5,1.482,SYNTHETIC_FABRICATED_NOT_REAL
SYN-037,96.0,141.7,45.7,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-038,0.0,79.5,79.5,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-038,79.5,82.5,3.0,1.473,SYNTHETIC_FABRICATED_NOT_REAL
SYN-038,82.5,109.5,27.0,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-038,109.5,114.0,4.5,2.095,SYNTHETIC_FABRICATED_NOT_REAL
SYN-038,114.0,179.12,65.12,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-039,0.0,42.0,42.0,0.027,SYNTHETIC_FABRICATED_NOT_REAL
SYN-039,42.0,45.0,3.0,1.248,SYNTHETIC_FABRICATED_NOT_REAL
SYN-039,45.0,282.53,237.53,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,0.0,30.0,30.0,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,30.0,34.5,4.5,1.173,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,34.5,42.0,7.5,0.044,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,42.0,45.0,3.0,1.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,45.0,67.5,22.5,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,67.5,72.0,4.5,0.997,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,72.0,78.0,6.0,0.039,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,78.0,79.5,1.5,1.915,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,79.5,228.82,149.32,0.034,SYNTHETIC_FABRICATED_NOT_REAL
